player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year,first_name,second_name,goals_scored,assists,total_points,minutes.played,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,position_index,fpl_to_min
Thibaut Courtois,Goalkeeper,1992-05-11T00:00:00Z,25,Belgium,Chelsea FC,Premier League,2017/2018,2017,Thibaut,Courtois,0,0,136,3150,34,0,549,0,4,635,55.2,15,0,2,10.3,53,1,4.317460317460318
Willy Caballero,Goalkeeper,1981-09-28T00:00:00Z,35,Argentina,Chelsea FC,Premier League,2017/2018,2017,Willy,Caballero,0,0,11,270,4,0,55.2,0,0,54,5.5,1,0,0,0.1,48,1,4.074074074074074
Antonio RÃ¼diger,Centre-Back,1993-03-03T00:00:00Z,24,Germany,Chelsea FC,Premier League,2017/2018,2017,Antonio,RÃ¼diger,2,1,115,2336,22,83,546.6,217,8,557,84.8,12,0,4,3.3,58,2,4.9229452054794525
Andreas Christensen,Centre-Back,1996-04-10T00:00:00Z,21,Denmark,Chelsea FC,Premier League,2017/2018,2017,Andreas,Christensen,0,0,79,2067,23,66.5,466.6,109,4,475,64.3,8,0,0,1.9,53,2,3.8219641993226903
Gary Cahill,Centre-Back,1985-12-19T00:00:00Z,31,England,Chelsea FC,Premier League,2017/2018,2017,Gary,Cahill,0,0,74,2082,27,55.6,496.6,99,2,447,65.4,9,1,1,3,62,2,3.554274735830932
Kurt Zouma,Centre-Back,1994-10-27T00:00:00Z,22,France,Chelsea FC,Premier League,2017/2018,2017,Kurt,Zouma,1,0,87,2887,50,91.8,814.2,235,5,554,114.4,7,0,1,2,54,2,3.013508832698303
Fikayo Tomori,Centre-Back,1997-12-19T00:00:00Z,19,England,Chelsea FC,Premier League,2017/2018,2017,Fikayo,Tomori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,NaN
Trevoh Chalobah,Centre-Back,1999-07-05T00:00:00Z,17,England,Chelsea FC,Premier League,2017/2018,2017,Trevoh,Chalobah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,NaN
Ethan Ampadu,Centre-Back,2000-09-14T00:00:00Z,16,Wales,Chelsea FC,Premier League,2017/2018,2017,Ethan,Ampadu,0,0,1,10,1,0,7.4,0,0,6,0.7,0,0,0,0,45,2,10
Marcos Alonso,Left-Back,1990-12-28T00:00:00Z,26,Spain,Chelsea FC,Premier League,2017/2018,2017,Marcos,Alonso,7,2,165,2855,30,549.6,697.8,822,15,650,207.1,13,0,6,16.2,71,2,5.779334500875657
Emerson Palmieri dos Santos,Left-Back,1994-08-03T00:00:00Z,22,Italy,Chelsea FC,Premier League,2017/2018,2017,Emerson,Palmieri dos Santos,0,1,14,278,4,28.7,61.8,48,0,68,13.8,1,0,0,0.1,52,2,5.0359712230215825
CÃ©sar Azpilicueta,Right-Back,1989-08-28T00:00:00Z,27,Spain,Chelsea FC,Premier League,2017/2018,2017,CÃ©sar,Azpilicueta,2,6,175,3330,38,535.7,967.4,168,25,913,167.5,15,0,1,21,69,2,5.255255255255255
Davide Zappacosta,Right-Back,1992-06-11T00:00:00Z,25,Italy,Chelsea FC,Premier League,2017/2018,2017,Davide,Zappacosta,1,1,58,1087,15,245.3,255.2,329,1,226,82.6,5,0,0,0.2,59,2,5.335786568537258
Dujon Sterling,Right-Back,1999-10-24T00:00:00Z,17,England,Chelsea FC,Premier League,2017/2018,2017,Dujon,Sterling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,NaN
TiemouÃ© Bakayoko,Defensive Midfield,1994-08-17T00:00:00Z,22,France,Chelsea FC,Premier League,2017/2018,2017,TiemouÃ©,Bakayoko,2,2,77,2121,24,279.5,415.4,434,5,346,113.2,11,1,3,1.2,49,3,3.6303630363036308
N'Golo KantÃ©,Central Midfield,1991-03-29T00:00:00Z,26,France,Chelsea FC,Premier League,2017/2018,2017,N'Golo,KantÃ©,1,2,101,2994,32,638.2,676,199,9,655,151.7,16,0,3,11.7,49,3,3.373413493653975
